"","Year","Mo","Day","SiteID","CountID","ID","Unimodal","TIME","DATE","SITE","POINT","MINUTE","Hr","LEQA","PC_rem_Med","PC_rem_L50","Elev","Veg","TASR","yDay","YDay","AMCR","AMDI","AMGO","AMKE","AMRO","BBMA","BCCH","BHCO","BHGR","BRBL","BRCR","BRSP","BUOR","CAFI","CAGO","CAVI","CEWA","CHSP","COFL","COME","DEJU","DOWO","DUFL","DUGR","EAKI","EUST","FOSP","GCKI","GOEA","GRCA","GTTO","HAFL","HAWO","HETH","HOWR","LAZB","LEGO","LEWO","LISP","MALL","MGWA","MOBL","MOCH","MODO","NOFL","NOHA","OCWA","PISI","PIWO","RBNU","RCKI","RNSA","ROWR","RTHA","RWBL","SOSP","SPSA","SPTO","STJA","SWTH","TRSW","UNBI","UNCH","UNDU","UNFL","UNKI","UNRA","UNSA","UNSO","UNSP","UNSW","UNTH","UNWA","UNWO","VESP","VGSW","WAVI","WEKI","WEME","WETA","WEWP","WIFL","WISN","WIWA","YEWA","YRWA","scYDaySq","scTASRSq","Total","p","pLEQ","CF_Offset"
"1",2018,5,7,"CU2D",1422,"CP","N","6:23","5/7/2018","CU2","D",1,6,54.8,3882.855556,40.55,1748.770874,50.72424698,-0.004166667,126,0.345205479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29158544426425,2.46248450006804,2,0.894826906076171,0.883879601885923,0.967592569403661
"2",2018,5,7,"CU2D",1422,"CP","N","6:23","5/7/2018","CU2","D",2,6,54.8,3882.855556,40.55,1748.770874,50.72424698,-0.004166667,126,0.345205479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29158544426425,2.46248450006804,1,0.894826906076171,0.883879601885923,0.967592569403661
"3",2018,5,7,"CU2D",1422,"CP","N","6:23","5/7/2018","CU2","D",3,6,54.8,3882.855556,40.55,1748.770874,50.72424698,-0.004166667,126,0.345205479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29158544426425,2.46248450006804,5,0.894826906076171,0.883879601885923,0.967592569403661
"4",2018,5,7,"CU1M",1381,"CC","N","6:24","5/7/2018","CU1","M",1,6,39.7,1774.096667,58.87,1709.162964,18.1054554,-0.003472222,126,0.345205479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2.29158544426425,2.42418954779941,3,0.894314185527763,0.902727702895518,0.996741930669649
"5",2018,5,7,"CU1M",1381,"CC","N","6:24","5/7/2018","CU1","M",2,6,39.7,1774.096667,58.87,1709.162964,18.1054554,-0.003472222,126,0.345205479,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29158544426425,2.42418954779941,1,0.894314185527763,0.902727702895518,0.996741930669649
"6",2018,5,7,"CU1M",1381,"CC","N","6:24","5/7/2018","CU1","M",3,6,39.7,1774.096667,58.87,1709.162964,18.1054554,-0.003472222,126,0.345205479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29158544426425,2.42418954779941,0,0.894314185527763,0.902727702895518,0.996741930669649
"7",2018,5,7,"CU2D",1423,"CP","Y","6:29","5/7/2018","CU2","D",1,6,54.8,3882.855556,40.55,1748.770874,50.72424698,0,126,0.345205479,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29158544426425,2.23721655220578,1,0.891791008263022,0.880516872758915,0.967592569403661
"8",2018,5,7,"CU2D",1423,"CP","Y","6:29","5/7/2018","CU2","D",2,6,54.8,3882.855556,40.55,1748.770874,50.72424698,0,126,0.345205479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29158544426425,2.23721655220578,1,0.891791008263022,0.880516872758915,0.967592569403661
"9",2018,5,7,"CU2D",1423,"CP","Y","6:29","5/7/2018","CU2","D",3,6,54.8,3882.855556,40.55,1748.770874,50.72424698,0,126,0.345205479,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29158544426425,2.23721655220578,5,0.891791008263022,0.880516872758915,0.967592569403661
"10",2018,5,7,"CU1M",1409,"CC","Y","6:30","5/7/2018","CU1","M",1,6,39.7,1774.096667,58.87,1709.162964,18.1054554,0.000694444,126,0.345205479,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.29158544426425,2.20072229395478,5,0.891294690698785,0.899700091665962,0.996741930669649
"11",2018,5,7,"CU1M",1409,"CC","Y","6:30","5/7/2018","CU1","M",2,6,39.7,1774.096667,58.87,1709.162964,18.1054554,0.000694444,126,0.345205479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29158544426425,2.20072229395478,0,0.891294690698785,0.899700091665962,0.996741930669649
"12",2018,5,7,"CU1M",1409,"CC","Y","6:30","5/7/2018","CU1","M",3,6,39.7,1774.096667,58.87,1709.162964,18.1054554,0.000694444,126,0.345205479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29158544426425,2.20072229395478,0,0.891294690698785,0.899700091665962,0.996741930669649
"13",2018,5,7,"CU1M",1373,"CC","N","6:35","5/7/2018","CU1","M",1,6,39.7,1774.096667,58.87,1709.162964,18.1054554,0.004166667,126,0.345205479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2.29158544426425,2.02275244665637,3,0.888856467739494,0.897251289781059,0.996741930669649
"14",2018,5,7,"CU1M",1373,"CC","N","6:35","5/7/2018","CU1","M",2,6,39.7,1774.096667,58.87,1709.162964,18.1054554,0.004166667,126,0.345205479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.29158544426425,2.02275244665637,2,0.888856467739494,0.897251289781059,0.996741930669649
"15",2018,5,7,"CU1M",1373,"CC","N","6:35","5/7/2018","CU1","M",3,6,39.7,1774.096667,58.87,1709.162964,18.1054554,0.004166667,126,0.345205479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29158544426425,2.02275244665637,0,0.888856467739494,0.897251289781059,0.996741930669649
"16",2018,5,7,"CU2D",1424,"CP","N","6:35","5/7/2018","CU2","D",1,6,54.8,3882.855556,40.55,1748.770874,50.72424698,0.004166667,126,0.345205479,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.29158544426425,2.02275244665637,5,0.888856467739494,0.877268156601537,0.967592569403661
"17",2018,5,7,"CU2D",1424,"CP","N","6:35","5/7/2018","CU2","D",2,6,54.8,3882.855556,40.55,1748.770874,50.72424698,0.004166667,126,0.345205479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29158544426425,2.02275244665637,3,0.888856467739494,0.877268156601537,0.967592569403661
"18",2018,5,7,"CU2D",1424,"CP","N","6:35","5/7/2018","CU2","D",3,6,54.8,3882.855556,40.55,1748.770874,50.72424698,0.004166667,126,0.345205479,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29158544426425,2.02275244665637,3,0.888856467739494,0.877268156601537,0.967592569403661
"19",2018,5,7,"FI1D",1396,"BS","N","6:36","5/7/2018","FI1","D",1,6,41.9,2436.840833,42.87,1890.859985,50.14345169,0.004861111,126,0.345205479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.29158544426425,1.98805882749437,4,0.888377716841095,0.893971886749495,0.995433056181005
