"","SITE","POINT","TREAT"
"1","CU1","M","River"
"2","CU2","M","Control"
"3","CU3","M","Shifted"
"4","CU4","M","Shifted"
"5","CW1","M","Control"
"6","CW2","M","River"
"7","CW3","M","Control"
"8","FI1","M","Control"
"9","FI2","M","Control"
"10","FI4","M","River"
"11","FI5","M","River"
"12","FI6","M","Shifted"
"13","FI7","M","Shifted"
"14","FI8","M","River"
"15","FI9","M","Shifted"
"16","FI10","M","Control"
"17","TR0","M","Control"
"18","TR1","M","Control"
"19","TR2","M","Control"
"20","HY","M","Control"
"21","CU1","D","River"
"22","CU2","D","Control"
"23","CU3","D","Shifted"
"24","CU4","D","Shifted"
"25","CW1","D","Control"
"26","CW2","U","River"
"27","CW3","U","Control"
"28","FI1","U","Control"
"29","FI2","D","Control"
"30","FI4","U","River"
"31","FI5","U","River"
"32","FI6","U","Shifted"
"33","FI7","U","Shifted"
"34","FI8","U","River"
"35","FI9","D","Shifted"
"36","FI10","U","Control"
"37","CU1","U","River"
"38","CU2","U","Control"
"39","CU3","U","Shifted"
"40","CU4","U","Shifted"
"41","CW1","U","Control"
"42","CW2","D","River"
"43","CW3","D","Control"
"44","FI1","D","Control"
"45","FI2","U","Control"
"46","FI4","D","River"
"47","FI5","D","River"
"48","FI6","D","Shifted"
"49","FI7","D","Shifted"
"50","FI8","D","River"
"51","FI9","U","Shifted"
"52","FI10","D","Control"
"53","TR0","U","Control"
"54","TR0","D","Control"
"55","TR1","U","Control"
"56","TR1","D","Control"
"57","TR2","U","Control"
"58","TR2","D","Control"
"59","HY","U","Control"
"60","HY","D","Control"
