Species,common,Species.y.1
AMKE,American kestrel,Falco sparverius
DUFL,Dusky flycatcher,Empidonax oberholseri
WAVI,Warbling vireo,Vireo gilvus
AMCR,American crow,Corvus brachyrhynchos
BCCH,Black-capped chickadee,Poecile atricapillus
HOWR,House wren,Troglodytes aedon
RBNU,Red-breasted nuthatch,Sitta canadensis
EUST,European starling,Sturnus vulgaris
AMRO,American robin,Turdus migratorius
RCKI,Ruby-crowned kinglet,Regulus calendula
WETA,Western tanager,Piranga ludoviciana
LAZB,Lazuli bunting,Passerina amoena
BRSP,Brewer's sparrow,Spizella breweri
SPTO,Spotted towhee,Pipilo maculatus
SOSP,song sparrow,Melospiza melodia
DEJU,Dark-eyed junco,Junco hyemalis
BUOR,Bullock's oriole,Icterus bullockii
BHCO,Brown-headed cowbird,Molothrus ater
WEME,Western meadowlark,Sturnella neglecta
MGWA,MacGillivray's warbler,Geothlypis tolmiei
YEWA,Yellow warbler,Dendroica petechia
YRWA,Yellow-rumped warbler,Dendroica coronata
OCWA,Orange-crowned warbler,Vermivora celata
NOFL,Northern flicker,Colaptes auratus
RNSA,Red-naped sapsucker,Sphyrapicus nuchalis
