"","Species","Intercept_Est","dB_Est","kHz_Est","FreqDiff_Est","Veq_Est","Elev_Est","yDay_Est","jDaySq_Est","Year_Est","dB:kHz_Est","dB:FreqDiff_Est","Intercept_SE","dB_SE","kHz_SE","FreqDiff_SE","Veq_SE","Elev_SE","yDay_SE","jDaySq_SE","Year_SE","dB:kHz_SE","dB:FreqDiff_SE","Intercept_Z","dB_Z","kHz_Z","FreqDiff_Z","Veq_Z","Elev_Z","yDay_Z","jDaySq_Z","Year_Z","dB:kHz_Z","dB:FreqDiff_Z","Intercept_P","dB_P","kHz_P","FreqDiff_P","Veq_P","Elev_P","yDay_P","jDaySq_P","Year_P","dB:kHz_P","dB:FreqDiff_P"
"1","AMCR",-5.5682,0.2557,-0.718,0.5723,0.1903,-1.708,-0.2952,0.0819,0.0792,1.0262,-0.8267,0.7483,0.3087,1.0229,1.0956,0.2905,0.5743,0.241,0.2584,0.5755,1.78,1.8251,-7.4407,0.8285,-0.7019,0.5223,0.655,-2.9742,-1.2248,0.3169,0.1377,0.5765,-0.453,0,0.4074,0.4828,0.6014,0.5125,0.0029,0.2206,0.7513,0.8905,0.5643,0.6506
"2","AMKE",-5.054,-0.012,0.367,-0.1203,-0.0593,-0.8079,-0.5542,0.7062,-1.0901,-0.0047,-0.1103,0.5066,0.2606,0.2172,0.1756,0.2478,0.3369,0.2166,0.2281,0.567,0.2149,0.1968,-9.9758,-0.0459,1.6898,-0.685,-0.2395,-2.3978,-2.5588,3.0963,-1.9225,-0.0219,-0.5605,0,0.9634,0.0911,0.4934,0.8107,0.0165,0.0105,0.002,0.0545,0.9825,0.5752
"3","AMRO",-2.701,0.0117,-0.1842,0.3265,0.1321,-0.0349,-0.1862,-0.1326,0.091,-0.2905,0.2514,0.2559,0.0925,0.2003,0.1752,0.1328,0.2062,0.087,0.0925,0.1919,0.2193,0.207,-10.5561,0.1268,-0.9195,1.864,0.9941,-0.1691,-2.1405,-1.4331,0.474,-1.3246,1.2149,0,0.8991,0.3578,0.0623,0.3202,0.8657,0.0323,0.1518,0.6355,0.1853,0.2244
"4","BCCH",-6.1392,-0.0796,0.0374,0.2523,-0.1279,0.5589,-0.1632,0.8518,0.0245,0.0096,-0.1332,0.8276,0.1844,0.2207,0.2044,0.2996,0.4847,0.1756,0.2074,0.4617,0.2042,0.2179,-7.418,-0.4318,0.1696,1.2348,-0.427,1.1532,-0.9296,4.1064,0.0531,0.0471,-0.6115,0,0.6659,0.8653,0.2169,0.6694,0.2488,0.3526,0,0.9576,0.9624,0.5408
"5","BHCO",-4.8935,-0.338,-0.1444,0.1893,0.4087,-1.2617,0.0461,-0.3902,0.6584,-0.0707,-0.6004,0.4542,0.2616,0.4918,0.4342,0.1845,0.2463,0.2134,0.2383,0.4866,0.5408,0.5059,-10.7744,-1.2919,-0.2937,0.4359,2.2152,-5.1231,0.2162,-1.6375,1.3532,-0.1308,-1.1867,0,0.1964,0.769,0.6629,0.0267,0,0.8288,0.1015,0.176,0.896,0.2353
"6","BRSP",-10.0977,0.7736,-0.3946,-0.0121,-1.2987,-3.2494,-0.9047,-0.1086,0.9042,-0.1369,0.8374,1.8069,0.2569,0.3381,0.3083,0.5823,1.033,0.3575,0.2747,0.6219,0.2544,0.2838,-5.5885,3.0111,-1.167,-0.0394,-2.2304,-3.1455,-2.5307,-0.3955,1.454,-0.5382,2.9506,0,0.0026,0.2432,0.9686,0.0257,0.0017,0.0114,0.6924,0.1459,0.5904,0.0032
"7","BUOR",-5.6201,0.3314,0.5394,-0.1233,0.2589,-0.9108,0.2283,-0.7479,1.0835,-0.5,0.0301,0.6729,0.3552,0.5954,0.4248,0.292,0.4528,0.1932,0.206,0.413,0.693,0.4972,-8.3515,0.9331,0.906,-0.2902,0.8867,-2.0114,1.1815,-3.631,2.6237,-0.7214,0.0605,0,0.3508,0.365,0.7717,0.3752,0.0443,0.2374,3e-04,0.0087,0.4706,0.9518
"8","CHSP",-5.1111,-0.1148,-1.9495,-1.185,-0.5485,0.389,0.1763,0.308,-0.5412,1.564,0.8779,0.6503,0.3734,2.1802,1.6205,0.3105,0.3197,0.203,0.206,0.4408,1.55,1.1553,-7.8589,-0.3074,-0.8942,-0.7313,-1.7668,1.2167,0.8688,1.4953,-1.2279,1.009,0.7599,0,0.7585,0.3712,0.4646,0.0773,0.2237,0.3849,0.1348,0.2195,0.313,0.4473
"9","DEJU",-4.8543,0.0298,-0.516,-0.5989,-0.2074,0.4161,-0.4943,0.0949,-0.1383,0.4245,0.4182,0.4938,0.1917,0.6232,0.4865,0.2187,0.3179,0.1967,0.1931,0.4193,0.6253,0.4907,-9.8308,0.1556,-0.8281,-1.2311,-0.948,1.309,-2.5131,0.4917,-0.3298,0.6789,0.8523,0,0.8763,0.4076,0.2183,0.3431,0.1905,0.012,0.6229,0.7416,0.4972,0.394
"10","DUFL",-3.8024,-0.3918,-0.0749,0.0746,-0.1124,0.5769,0.0482,-0.2763,0.7258,-0.1337,0.2246,0.2623,0.1382,0.2091,0.1756,0.1437,0.1676,0.1151,0.1305,0.2711,0.2173,0.1833,-14.4943,-2.8345,-0.3579,0.4247,-0.782,3.443,0.4185,-2.1162,2.6768,-0.6152,1.2248,0,0.0046,0.7204,0.671,0.4342,6e-04,0.6756,0.0343,0.0074,0.5384,0.2206
