"Common","Latin","Predictors","Estimates","SE","CI","Z","p"
"","","","","","","",""
"","","","","","","",""
"Common","Latin","Predictors","Estimates","SE","CI","Z","p"
"American crow","Corvus brachyrhynchos","Intercept","-5.57","0.75","'-4.1 - -7.04","-7.44","<0.01"
"","","SPL","0.26","0.31","'0.87 - -0.35","0.83","0.41"
"","","Background Freq","-0.72","1.02","'1.28 - -2.72","-0.7","0.48"
"","","Spectral Overlap","0.57","1.1","'2.73 - -1.59","0.52","0.6"
"","","Vegetation","0.19","0.29","'0.76 - -0.38","0.65","0.51"
"","","Elevation","-1.71","0.57","'-0.59 - -2.83","-2.97","<0.01"
"","","Day","-0.3","0.24","'0.17 - -0.77","-1.22","0.22"
"","","Day2","0.08","0.26","'0.59 - -0.43","0.32","0.75"
"","","Year","0.08","0.58","'1.22 - -1.06","0.14","0.89"
"","","SPL:Background Freq","1.03","1.78","'4.52 - -2.46","0.58","0.56"
"","","SPL:Spectral Overlap","-0.83","1.83","'2.76 - -4.42","-0.45","0.65"
"","","","","","","",""
"","","","","","","",""
"Common","Latin","Predictors","Estimates","SE","CI","Z","p"
"American kestrel","Falco sparverius","Intercept","-5.05","0.51","'-4.05 - -6.05","-9.98","<0.01"
"","","SPL","-0.01","0.26","'0.5 - -0.52","-0.05","0.96"
"","","Background Freq","0.37","0.22","'0.8 - -0.06","1.69","0.09"
"","","Spectral Overlap","-0.12","0.18","'0.23 - -0.47","-0.68","0.49"
"","","Vegetation","-0.06","0.25","'0.43 - -0.55","-0.24","0.81"
"","","Elevation","-0.81","0.34","'-0.14 - -1.48","-2.4","0.02"
"","","Day","-0.55","0.22","'-0.12 - -0.98","-2.56","0.01"
"","","Day2","0.71","0.23","'1.16 - 0.26","3.1","<0.01"
"","","Year","-1.09","0.57","'0.03 - -2.21","-1.92","0.05"
"","","SPL:Background Freq","0","0.21","'0.41 - -0.41","-0.02","0.98"
"","","SPL:Spectral Overlap","-0.11","0.2","'0.28 - -0.5","-0.56","0.58"
"","","","","","","",""
"","","","","","","",""
"Common","Latin","Predictors","Estimates","SE","CI","Z","p"
"American robin","Turdus migratorius","Intercept","-2.7","0.26","'-2.19 - -3.21","-10.56","<0.01"
"","","SPL","0.01","0.09","'0.19 - -0.17","0.13","0.9"
"","","Background Freq","-0.18","0.2","'0.21 - -0.57","-0.92","0.36"
"","","Spectral Overlap","0.33","0.18","'0.68 - -0.02","1.86","0.06"
"","","Vegetation","0.13","0.13","'0.38 - -0.12","0.99","0.32"
"","","Elevation","-0.03","0.21","'0.38 - -0.44","-0.17","0.87"
"","","Day","-0.19","0.09","'-0.01 - -0.37","-2.14","0.03"
"","","Day2","-0.13","0.09","'0.05 - -0.31","-1.43","0.15"
"","","Year","0.09","0.19","'0.46 - -0.28","0.47","0.64"
"","","SPL:Background Freq","-0.29","0.22","'0.14 - -0.72","-1.32","0.19"
"","","SPL:Spectral Overlap","0.25","0.21","'0.66 - -0.16","1.21","0.22"
"","","","","","","",""
"","","","","","","",""
"Common","Latin","Predictors","Estimates","SE","CI","Z","p"
"Black-capped chickadee","Poecile atricapillus","Intercept","-6.14","0.83","'-4.51 - -7.77","-7.42","<0.01"
