"","df","AIC","dAIC"
"Me0",1,859.26,5.08
"Me1",2,860.37,6.19
"Me2",2,861.23,7.06
"Me3",3,862.35,8.18
"Me4",2,861.18,7
"Me5",2,855.55,1.37
"Me6",3,857.44,3.27
"Me7",3,861.73,7.56
"Me8",3,856.61,2.44
"Me9",3,863.16,8.99
"Me10",3,856.56,2.39
"Me11",4,857.62,3.45
"Me12",4,863.69,9.52
"Me13",5,858.82,4.64
"Me14",2,858.42,4.25
"Me15",3,858.91,4.74
"Me16",3,860.42,6.24
"Me17",4,860.91,6.74
"Me18",3,859.9,5.72
"Me19",3,854.18,0
"Me20",4,855.48,1.31
"Me21",4,860.76,6.58
"Me22",4,854.58,0.41
"Me23",4,861.89,7.72
"Me24",4,855.43,1.25
"Me25",5,855.82,1.64
"Me26",5,862.76,8.58
"Me27",6,857.65,3.47
